  PID   TID   UID COMM                        CMDLINE                     CMD             LABEL                          STAT  WCHAN 
    1     1     0 init                        /system/bin/init second_stage init          u:r:init:s0                    S     do_epoll_wait
    1   441     0 init                        /system/bin/init second_stage init          u:r:init:s0                    S<    do_epoll_wait
    1   442     0 init                        /system/bin/init second_stage init          u:r:init:s0                    S<    do_epoll_wait
    2     2     0 [kthreadd]                  [kthreadd]                  kthreadd        u:r:kernel:s0                  S     kthreadd
    3     3     0 [rcu_gp]                    [rcu_gp]                    rcu_gp          u:r:kernel:s0                  I<    rescuer_thread
    4     4     0 [rcu_par_gp]                [rcu_par_gp]                rcu_par_gp      u:r:kernel:s0                  I<    rescuer_thread
    5     5     0 [kworker/0:0-events]        [kworker/0:0-events]        kworker/0:0-events u:r:kernel:s0               I     worker_thread
    6     6     0 [kworker/0:0H-events_highpri] [kworker/0:0H-events_highpri] kworker/0:0H-events_highpri u:r:kernel:s0  I<    worker_thread
    7     7     0 [kworker/0:1-pm]            [kworker/0:1-pm]            kworker/0:1-pm  u:r:kernel:s0                  I     worker_thread
    8     8     0 [kworker/u16:0-events_unbound] [kworker/u16:0-events_unbound] kworker/u16:0-events_unbound u:r:kernel:s0 I   worker_thread
    9     9     0 [mm_percpu_wq]              [mm_percpu_wq]              mm_percpu_wq    u:r:kernel:s0                  I<    rescuer_thread
   10    10     0 [ksoftirqd/0]               [ksoftirqd/0]               ksoftirqd/0     u:r:kernel:s0                  S     smpboot_thread_fn
   11    11     0 [rcu_preempt]               [rcu_preempt]               rcu_preempt     u:r:kernel:s0                  I     rcu_gp_kthread
   12    12     0 [rcuog/0]                   [rcuog/0]                   rcuog/0         u:r:kernel:s0                  S     rcu_nocb_gp_kthread
   13    13     0 [rcuop/0]                   [rcuop/0]                   rcuop/0         u:r:kernel:s0                  S     rcu_nocb_cb_kthread
   14    14     0 [migration/0]               [migration/0]               migration/0     u:r:kernel:s0                  S     smpboot_thread_fn
   15    15     0 [cpuhp/0]                   [cpuhp/0]                   cpuhp/0         u:r:kernel:s0                  S     smpboot_thread_fn
   16    16     0 [cpuhp/1]                   [cpuhp/1]                   cpuhp/1         u:r:kernel:s0                  S     smpboot_thread_fn
   17    17     0 [migration/1]               [migration/1]               migration/1     u:r:kernel:s0                  S     smpboot_thread_fn
   18    18     0 [ksoftirqd/1]               [ksoftirqd/1]               ksoftirqd/1     u:r:kernel:s0                  S     smpboot_thread_fn
   19    19     0 [kworker/1:0-rcu_gp]        [kworker/1:0-rcu_gp]        kworker/1:0-rcu_gp u:r:kernel:s0               I     worker_thread
   20    20     0 [kworker/1:0H-events_highpri] [kworker/1:0H-events_highpri] kworker/1:0H-events_highpri u:r:kernel:s0  I<    worker_thread
   21    21     0 [rcuop/1]                   [rcuop/1]                   rcuop/1         u:r:kernel:s0                  S     rcu_nocb_cb_kthread
   22    22     0 [cpuhp/2]                   [cpuhp/2]                   cpuhp/2         u:r:kernel:s0                  S     smpboot_thread_fn
   23    23     0 [migration/2]               [migration/2]               migration/2     u:r:kernel:s0                  S     smpboot_thread_fn
   24    24     0 [ksoftirqd/2]               [ksoftirqd/2]               ksoftirqd/2     u:r:kernel:s0                  S     smpboot_thread_fn
   25    25     0 [kworker/2:0-events]        [kworker/2:0-events]        kworker/2:0-events u:r:kernel:s0               I     worker_thread
   26    26     0 [kworker/2:0H-kblockd]      [kworker/2:0H-kblockd]      kworker/2:0H-kblockd u:r:kernel:s0             I<    worker_thread
   27    27     0 [rcuop/2]                   [rcuop/2]                   rcuop/2         u:r:kernel:s0                  S     rcu_nocb_cb_kthread
   28    28     0 [cpuhp/3]                   [cpuhp/3]                   cpuhp/3         u:r:kernel:s0                  S     smpboot_thread_fn
   29    29     0 [migration/3]               [migration/3]               migration/3     u:r:kernel:s0                  S     smpboot_thread_fn
   30    30     0 [ksoftirqd/3]               [ksoftirqd/3]               ksoftirqd/3     u:r:kernel:s0                  S     smpboot_thread_fn
   31    31     0 [kworker/3:0-rcu_gp]        [kworker/3:0-rcu_gp]        kworker/3:0-rcu_gp u:r:kernel:s0               I     worker_thread
   32    32     0 [kworker/3:0H-events_highpri] [kworker/3:0H-events_highpri] kworker/3:0H-events_highpri u:r:kernel:s0  I<    worker_thread
   33    33     0 [rcuop/3]                   [rcuop/3]                   rcuop/3         u:r:kernel:s0                  S     rcu_nocb_cb_kthread
