02000000-22000000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space]
22000000-42000000 rw-p 00000000 00:00 0                                  [anon:dalvik-free list large object space]
42000000-44000000 r--s 00000000 00:01 28216                              /memfd:jit-zygote-cache (deleted)
44000000-46000000 r-xs 02000000 00:01 28216                              /memfd:jit-zygote-cache (deleted)
6fa64000-6fd5c000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot.art]
6fd5c000-6fdac000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-core-libart.art]
6fdac000-6fdd8000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-okhttp.art]
6fdd8000-6fe24000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-bouncycastle.art]
6fe24000-6fe28000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-apache-xml.art]
6fe28000-70c5c000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-framework.art]
70c5c000-70c60000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-framework-graphics.art]
70c60000-70c68000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-framework-location.art]
70c68000-70c98000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-ext.art]
70c98000-70de4000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-telephony-common.art]
70de4000-70e88000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-voip-common.art]
70e88000-70ecc000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-ims-common.art]
70ecc000-70ed0000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-framework-ondeviceintelligence-platform.art]
70ed0000-70ed4000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-telephony-ext.art]
70ed4000-70ed8000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-oplus-fwk.art]
70ed8000-70edc000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-WfdCommon.art]
70edc000-71060000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-core-icu4j.art]
71060000-710fc000 r--p 00000000 fd:02 1408                               /system/framework/arm64/boot.oat
710fc000-7134d000 r-xp 0009c000 fd:02 1408                               /system/framework/arm64/boot.oat
7134d000-71350000 ---p 00000000 00:00 0                                  [anon:dalvik-Boot image reservation]
71350000-71351000 rw-p 00000000 00:00 0                                  [anon:.bss]
71351000-71354000 ---p 00000000 00:00 0                                  [anon:dalvik-Boot image reservation]
71354000-71370000 rw-p 00000000 fd:02 1428                               /system/framework/boot.vdex
71370000-71380000 r--p 00000000 fd:02 1369                               /system/framework/arm64/boot-core-libart.oat
71380000-713bd000 r-xp 00010000 fd:02 1369                               /system/framework/arm64/boot-core-libart.oat
713bd000-713c0000 ---p 00000000 00:00 0                                  [anon:dalvik-Boot image reservation]
713c0000-713c1000 rw-p 00000000 00:00 0                                  [anon:.bss]
713c1000-713c4000 ---p 00000000 00:00 0                                  [anon:dalvik-Boot image reservation]
713c4000-713c8000 rw-p 00000000 fd:02 1415                               /system/framework/boot-core-libart.vdex
713c8000-713d8000 r--p 00000000 fd:02 1393                               /system/framework/arm64/boot-okhttp.oat
713d8000-71407000 r-xp 00010000 fd:02 1393                               /system/framework/arm64/boot-okhttp.oat
71407000-71408000 ---p 00000000 00:00 0                                  [anon:dalvik-Boot image reservation]
71408000-71409000 rw-p 00000000 00:00 0                                  [anon:.bss]
71409000-7140c000 ---p 00000000 00:00 0                                  [anon:dalvik-Boot image reservation]
7140c000-7140e000 rw-p 00000000 fd:02 1423                               /system/framework/boot-okhttp.vdex
7140e000-71410000 ---p 00000000 00:00 0                                  [anon:dalvik-Boot image reservation]
71410000-71418000 r--p 00000000 fd:02 1363                               /system/framework/arm64/boot-bouncycastle.oat
71418000-71426000 r-xp 00008000 fd:02 1363                               /system/framework/arm64/boot-bouncycastle.oat
71426000-71428000 ---p 00000000 00:00 0                                  [anon:dalvik-Boot image reservation]
71428000-71429000 rw-p 00000000 00:00 0                                  [anon:.bss]
71429000-7142c000 ---p 00000000 00:00 0                                  [anon:dalvik-Boot image reservation]
7142c000-71432000 rw-p 00000000 fd:02 1413                               /system/framework/boot-bouncycastle.vdex
71432000-71434000 ---p 00000000 00:00 0                                  [anon:dalvik-Boot image reservation]
71434000-71438000 r--p 00000000 fd:02 1360                               /system/framework/arm64/boot-apache-xml.oat
71438000-7143d000 rw-p 00000000 fd:02 1412                               /system/framework/boot-apache-xml.vdex
7143d000-71440000 ---p 00000000 00:00 0                                  [anon:dalvik-Boot image reservation]
71440000-71630000 r--p 00000000 fd:02 1387                               /system/framework/arm64/boot-framework.oat
71630000-71c9e000 r-xp 001f0000 fd:02 1387                               /system/framework/arm64/boot-framework.oat
71c9e000-71ca0000 ---p 00000000 00:00 0                                  [anon:dalvik-Boot image reservation]
71ca0000-71ca1000 rw-p 00000000 00:00 0                                  [anon:.bss]
71ca1000-71ca4000 ---p 00000000 00:00 0                                  [anon:dalvik-Boot image reservation]
71ca4000-71d47000 rw-p 00000000 fd:02 1421                               /system/framework/boot-framework.vdex
71d47000-71d48000 ---p 00000000 00:00 0                                  [anon:dalvik-Boot image reservation]
71d48000-71d4c000 r--p 00000000 fd:02 1378                               /system/framework/arm64/boot-framework-graphics.oat
71d4c000-71d4d000 rw-p 00000000 fd:02 1418                               /system/framework/boot-framework-graphics.vdex
71d4d000-71d50000 ---p 00000000 00:00 0                                  [anon:dalvik-Boot image reservation]
71d50000-71d54000 r--p 00000000 fd:02 1381                               /system/framework/arm64/boot-framework-location.oat
71d54000-71d55000 r-xp 00004000 fd:02 1381                               /system/framework/arm64/boot-framework-location.oat
71d55000-71d58000 ---p 00000000 00:00 0                                  [anon:dalvik-Boot image reservation]
71d58000-71d5a000 rw-p 00000000 fd:02 1419                               /system/framework/boot-framework-location.vdex
71d5a000-71d5c000 ---p 00000000 00:00 0                                  [anon:dalvik-Boot image reservation]
71d5c000-71d64000 r--p 00000000 fd:02 1372                               /system/framework/arm64/boot-ext.oat
71d64000-71d7b000 r-xp 00008000 fd:02 1372                               /system/framework/arm64/boot-ext.oat
71d7b000-71d7c000 ---p 00000000 00:00 0                                  [anon:dalvik-Boot image reservation]
71d7c000-71d7d000 rw-p 00000000 fd:02 1416                               /system/framework/boot-ext.vdex
71d7d000-71d80000 ---p 00000000 00:00 0                                  [anon:dalvik-Boot image reservation]
71d80000-71d88000 r--p 00000000 fd:02 1399                               /system/framework/arm64/boot-telephony-common.oat
71d88000-71d97000 rw-p 00000000 fd:02 1425                               /system/framework/boot-telephony-common.vdex
71d97000-71d98000 ---p 00000000 00:00 0                                  [anon:dalvik-Boot image reservation]
71d98000-71d9c000 r--p 00000000 fd:02 1405                               /system/framework/arm64/boot-voip-common.oat
71d9c000-71d9d000 r-xp 00004000 fd:02 1405                               /system/framework/arm64/boot-voip-common.oat
71d9d000-71da0000 ---p 00000000 00:00 0                                  [anon:dalvik-Boot image reservation]
71da0000-71da5000 rw-p 00000000 fd:02 1427                               /system/framework/boot-voip-common.vdex
71da5000-71da8000 ---p 00000000 00:00 0                                  [anon:dalvik-Boot image reservation]
71da8000-71dac000 r--p 00000000 fd:02 1390                               /system/framework/arm64/boot-ims-common.oat
71dac000-71dae000 rw-p 00000000 fd:02 1422                               /system/framework/boot-ims-common.vdex
71dae000-71db0000 ---p 00000000 00:00 0                                  [anon:dalvik-Boot image reservation]
71db0000-71db4000 r--p 00000000 fd:02 1384                               /system/framework/arm64/boot-framework-ondeviceintelligence-platform.oat
71db4000-71db5000 rw-p 00000000 fd:02 1420                               /system/framework/boot-framework-ondeviceintelligence-platform.vdex
71db5000-71db8000 ---p 00000000 00:00 0                                  [anon:dalvik-Boot image reservation]
71db8000-71dbc000 r--p 00000000 fd:02 1402                               /system/framework/arm64/boot-telephony-ext.oat
71dbc000-71dbd000 rw-p 00000000 fd:02 1426                               /system/framework/boot-telephony-ext.vdex
71dbd000-71dc0000 ---p 00000000 00:00 0                                  [anon:dalvik-Boot image reservation]
71dc0000-71dc4000 r--p 00000000 fd:02 1396                               /system/framework/arm64/boot-oplus-fwk.oat
