02000000-22000000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space]
22000000-42000000 rw-p 00000000 00:00 0                                  [anon:dalvik-free list large object space]
42000000-44000000 r--s 00000000 00:01 27600                              /memfd:jit-zygote-cache (deleted)
44000000-46000000 r-xs 02000000 00:01 27600                              /memfd:jit-zygote-cache (deleted)
7092c000-70c24000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot.art]
70c24000-70c74000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-core-libart.art]
70c74000-70ca0000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-okhttp.art]
70ca0000-70cec000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-bouncycastle.art]
70cec000-70cf0000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-apache-xml.art]
70cf0000-71b24000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-framework.art]
71b24000-71b28000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-framework-graphics.art]
71b28000-71b30000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-framework-location.art]
71b30000-71b60000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-ext.art]
71b60000-71cac000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-telephony-common.art]
71cac000-71d50000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-voip-common.art]
71d50000-71d94000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-ims-common.art]
71d94000-71d98000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-framework-ondeviceintelligence-platform.art]
71d98000-71d9c000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-telephony-ext.art]
71d9c000-71da0000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-oplus-fwk.art]
71da0000-71da4000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-WfdCommon.art]
71da4000-71f28000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-core-icu4j.art]
71f28000-71fc4000 r--p 00000000 fd:08 1408                               /system/framework/arm64/boot.oat
71fc4000-72215000 r-xp 0009c000 fd:08 1408                               /system/framework/arm64/boot.oat
72215000-72218000 ---p 00000000 00:00 0                                  [anon:dalvik-Boot image reservation]
72218000-72219000 rw-p 00000000 00:00 0                                  [anon:.bss]
72219000-7221c000 ---p 00000000 00:00 0                                  [anon:dalvik-Boot image reservation]
7221c000-72238000 rw-p 00000000 fd:08 1428                               /system/framework/boot.vdex
72238000-72248000 r--p 00000000 fd:08 1369                               /system/framework/arm64/boot-core-libart.oat
72248000-72285000 r-xp 00010000 fd:08 1369                               /system/framework/arm64/boot-core-libart.oat
72285000-72288000 ---p 00000000 00:00 0                                  [anon:dalvik-Boot image reservation]
72288000-72289000 rw-p 00000000 00:00 0                                  [anon:.bss]
72289000-7228c000 ---p 00000000 00:00 0                                  [anon:dalvik-Boot image reservation]
7228c000-72290000 rw-p 00000000 fd:08 1415                               /system/framework/boot-core-libart.vdex
72290000-722a0000 r--p 00000000 fd:08 1393                               /system/framework/arm64/boot-okhttp.oat
722a0000-722cf000 r-xp 00010000 fd:08 1393                               /system/framework/arm64/boot-okhttp.oat
722cf000-722d0000 ---p 00000000 00:00 0                                  [anon:dalvik-Boot image reservation]
