02000000-22000000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space]
26597000-46597000 rw-p 00000000 00:00 0                                  [anon:dalvik-free list large object space]
46597000-48597000 r--s 00000000 00:01 28393                              /memfd:jit-zygote-cache (deleted)
48597000-4a597000 r-xs 02000000 00:01 28393                              /memfd:jit-zygote-cache (deleted)
70de0000-710d8000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot.art]
710d8000-71128000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-core-libart.art]
71128000-71154000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-okhttp.art]
71154000-711a0000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-bouncycastle.art]
711a0000-711a4000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-apache-xml.art]
711a4000-71fd8000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-framework.art]
71fd8000-71fdc000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-framework-graphics.art]
71fdc000-71fe4000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-framework-location.art]
71fe4000-72014000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-ext.art]
72014000-72160000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-telephony-common.art]
72160000-72204000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-voip-common.art]
72204000-72248000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-ims-common.art]
72248000-7224c000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-framework-ondeviceintelligence-platform.art]
7224c000-72250000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-telephony-ext.art]
72250000-72254000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-oplus-fwk.art]
72254000-72258000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-WfdCommon.art]
72258000-723dc000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-core-icu4j.art]
723dc000-72478000 r--p 00000000 fd:02 1408                               /system/framework/arm64/boot.oat
72478000-726c9000 r-xp 0009c000 fd:02 1408                               /system/framework/arm64/boot.oat
726c9000-726cc000 ---p 00000000 00:00 0                                  [anon:dalvik-Boot image reservation]
726cc000-726cd000 rw-p 00000000 00:00 0                                  [anon:.bss]
